City,Country,Year,Population,Walk,Bike,PT,Car
Ipswich,United Kingdom,2009.0,128e3,30.0,2.0,8.0,60.0
Płock,Poland,2015.0,124e3,10.0,2.0,35.0,53.0
Göttingen,Germany,2009.0,123594.0,25.0,27.0,13.0,35.0
Heilbronn,Germany,2008.0,122302.0,20.0,8.0,12.0,60.0
Ulm,Germany,2008.0,121648.0,28.0,9.0,11.0,52.0
Reykjavik,Iceland,2014.0,121490.0,18.0,6.0,5.0,71.0
Watford,United Kingdom,2008.0,121e3,22.0,2.0,10.0,66.0
Offenbach am Main,Germany,2008.0,120500.0,26.0,9.0,13.0,52.0
Zoetermeer,Netherlands,2008.0,119504.0,18.0,19.0,7.0,56.0
Dordecht,Netherlands,2008.0,118182.0,18.0,22.0,5.0,55.0
Maastricht,Netherlands,2008.0,118004.0,19.0,22.0,7.0,52.0
Exeter,United Kingdom,2008.0,118e3,26.0,4.0,9.0,61.0
Brugge,Belgium,2011.0,117e3,11.0,28.0,18.0,44.0
Chambéry,France,2006.0,117e3,28.0,2.0,6.0,64.0
Leiden,Netherlands,2008.0,116878.0,15.0,33.0,12.0,40.0
Zwolle,Netherlands,2008.0,116365.0,11.0,30.0,8.0,51.0
Panevėžys,Lithuania,2009.0,115315.0,40.0,1.0,21.0,38.0
Fürth,Germany,2010.0,115e3,23.0,8.0,17.0,52.0
Preston,United Kingdom,2006.0,114e3,23.0,2.0,10.0,65.0
Włocławek,Poland,2013.0,113939.0,3.0,2.0,45.0,50.0
Vienne,France,2006.0,113e3,20.0,1.0,5.0,74.0
Reutlingen,Germany,2007.0,112258.0,22.0,15.0,10.0,53.0
Chorzów,Poland,2011.0,111314.0,11.0,10.0,23.0,56.0
Lund,Sweden,2007.0,110332.0,16.0,26.0,16.0,42.0
Jena,Germany,2008.0,110097.0,39.0,10.0,16.0,35.0
Shkoder,Albania,2011.0,11e4,44.0,29.0,3.0,24.0
Umeå,Sweden,2006.0,11e4,16.0,19.0,8.0,57.0
Emmen,Netherlands,2008.0,109151.0,12.0,25.0,2.0,61.0
Namur,Belgium,2008.0,108950.0,6.0,2.0,22.0,70.0
Londonderry / Derry,United Kingdom,2011.0,107877.0,10.0,1.0,5.0,84.0
Ede,Netherlands,2008.0,107686.0,13.0,25.0,4.0,58.0
Pleven,Bulgaria,2011.0,106854.0,57.0,1.0,21.0,21.0
Gera,Germany,2008.0,105689.0,29.0,4.0,19.0,48.0
Kaiserslautern,Germany,2008.0,105352.0,29.0,3.0,14.0,54.0
Kalisz,Poland,2012.0,104867.0,3.0,6.0,36.0,55.0
Bolzano,Italy,2009.0,104e3,29.0,29.0,8.0,34.0
Tartu,Estonia,2009.0,103740.0,40.0,5.0,27.0,28.0
Hildesheim,Germany,2007.0,103593.0,22.0,12.0,11.0,55.0
Lahti,Finland,2010.0,101686.0,26.0,14.0,5.0,55.0
Witten,Germany,2006.0,100248.0,16.0,3.0,13.0,68.0
Antwerp,Belgium,2011.0,493517.0,20.0,23.0,16.0,41.0
Barcelona,Spain,2012.0,1620943.0,32.0,2.0,40.0,26.0
London,United Kingdom,2015.0,8673713.0,30.0,3.0,29.0,38.0
Örebro,Sweden,2012.0,138952.0,11.0,25.0,9.0,55.0
Rome,Italy,2014.0,2869461.0,16.0,1.0,29.0,54.0
Wien,Austria,2015.0,1797337.0,28.0,6.0,39.0,27.0
Zürich,Switzerland,2015.0,410404.0,26.0,4.0,34.0,36.0
